suite_number,ship_date_kst,trans_date_utc_package,package_id,inner_package_id,profit_case,package_merchant,order_type,package_type,country_code,country_name,carrier,carrier_service,package_weight,dimension_weight,package_count,reference_type,goods_revenue_krw,goods_revenue_usd,warehouse_revenue_krw,warehouse_revenue_usd,shipping_revenue_krw,shipping_revenue_usd,profit_krw,profit_usd,storage_fee_usd,storage_fee_krw,request_photo_fee_usd,request_photo_fee_krw,repack_fee_usd,repack_fee_krw,bubble_wrap_fee_usd,bubble_wrap_fee_krw,vacuum_repack_fee_usd,vacuum_repack_fee_krw,plasticbox_fee_usd,plasticbox_fee_krw,remove_papertube_fee_usd,remove_papertube_fee_krw,inclusion_fee_usd,inclusion_fee_krw,bfm_extra_fee_usd,bfm_extra_fee_krw,receiving_fee_usd,receiving_fee_krw,package_extra_fee_usd,package_extra_fee_krw,shipping_fee_usd,shipping_fee_krw,customer_cost_krw,customer_cost_usd,original_cost_krw,original_cost_usd,fuel_surcharge_cost_krw,fuel_surcharge_cost_usd,marked_up_cost_krw,marked_up_cost_usd,origin_usd_krw_package,usd_krw_package
A7958,2026-02-11,2026-02-11,855341,0,1,Gmarket,WE_SHIP,SINGLE,BH,Bahrain,ARAMEX,EXPRESS,3900,4680,1,ASN,0,0,0,0,98595,69.75,23254,16.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.75,98595,98593,69.75,57560,40.72,17779,12.58,23254,16.45,1457.269896,1413.551799
Q3474,2026-02-11,2026-02-10,807879,0,1,Ktown4u,WE_SHIP,SINGLE,US,United States of America,FEDEX,INTERNATIONAL_CONNECT_PLUS,5800,6194,1,ASN,0,0,0,0,126066,89.09,27274,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.09,126066,126063,89.09,67510,47.71,31279,22.1,27274,19.27,1458.809889,1415.045592
B9227,2026-02-11,2026-02-10,832302,0,1,Weverse shop,WE_SHIP,SINGLE,US,United States of America,FEDEX,INTERNATIONAL_CONNECT_PLUS,7500,7500,1,ASN,0,0,0,0,138774,98.07,30025,21.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.07,138774,138779,98.07,74320,52.52,34434,24.33,30025,21.22,1458.809889,1415.045592
A1621,2026-02-11,2026-02-10,850202,0,1,24797,WE_SHIP,SINGLE,RS,Serbia,DHL_EXPRESS,WORLDWIDE_NON_DOC,1800,2156,1,ASN,0,0,0,0,76328,53.94,13343,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.94,76328,76321,53.94,44476,31.43,18502,13.08,13343,9.43,1458.809889,1415.045592
F1478,2026-02-11,2026-02-10,854054,0,1,Weverse ,WE_SHIP,SINGLE,HU,Hungary,KOREAPOST,EMS,600,1632,1,ASN,0,0,0,0,55017,38.88,9170,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.88,55017,55020,38.88,45850,32.4,0,0,9170,6.48,1458.809889,1415.045592
S1796,2026-02-11,2026-02-10,850218,0,1,Berriz Shop,WE_SHIP,SINGLE,CA,Canada,KOREAPOST,EMS,2600,5208,1,ASN,0,0,0,0,105534,74.58,17590,12.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.58,105534,105540,74.58,87950,62.15,0,0,17590,12.43,1458.809889,1415.045592
Q1868,2026-02-11,2026-02-10,792825,0,1,Weverse,WE_SHIP,SINGLE,CL,Chile,KOREAPOST,EMS,600,1960,1,ASN,0,0,21226,15,71672,50.65,33171,23.44,15,21226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.65,71672,71670,50.65,59725,42.21,0,0,11945,8.44,1458.809889,1415.045592
R1679,2026-02-11,2026-02-10,853237,0,1,Bunjang,WE_SHIP,SINGLE,GB,United Kingdom,KOREAPOST,EMS,2200,6776,1,ASN,0,0,0,0,130326,92.1,21720,15.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.1,130326,130320,92.1,108600,76.75,0,0,21720,15.35,1458.809889,1415.045592
O6039,2026-02-11,2026-02-10,853861,0,1,Han Jeong Min,WE_SHIP,SINGLE,MY,Malaysia,ETOMARS,EPARCEL,100,416,1,ASN,0,0,0,0,6806,4.81,1572,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81,6806,6812,4.81,5240,3.7,0,0,1572,1.11,1458.809889,1415.045592
T5219,2026-02-11,2026-02-10,853498,0,1,Hanhwa Life Esports,WE_SHIP,SINGLE,SG,Singapore,ETOMARS,EPARCEL,200,421,1,ASN,0,0,0,0,9184,6.49,3444,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,9184,9184,6.49,5740,4.06,0,0,3444,2.43,1458.809889,1415.045592
T8798,2026-02-11,2026-02-10,854041,0,1,Weverse Global,WE_SHIP,SINGLE,BR,Brazil,KOREAPOST,KPACKET,600,1632,1,ASN,0,0,0,0,46838,33.1,10809,7.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.1,46838,46839,33.1,36030,25.46,0,0,10809,7.64,1458.809889,1415.045592
B6231,2026-02-11,2026-02-10,815795,0,1,ZenMarket,WE_SHIP,SINGLE,BR,Brazil,KOREAPOST,KPACKET,1400,1400,1,ASN,0,0,2123,1.5,46838,33.1,12932,9.14,0,0,1.5,2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.1,46838,46839,33.1,36030,25.46,0,0,10809,7.64,1458.809889,1415.045592
A0827,2026-02-11,2026-02-10,853714,0,1,flashlight,WE_SHIP,SINGLE,BR,Brazil,KOREAPOST,KPACKET,600,1632,1,ASN,0,0,0,0,46838,33.1,10809,7.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.1,46838,46839,33.1,36030,25.46,0,0,10809,7.64,1458.809889,1415.045592
O5892,2026-02-11,2026-02-09,851437,0,1,알라딘,WE_SHIP,SINGLE,AU,Australia,KOREAPOST,KPACKET,900,1512,1,ASN,0,0,0,0,28783,19.85,6504,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.85,28783,28184,19.44,21680,14.95,0,0,6504,4.49,1450,1450
A1621,2026-02-11,2026-02-10,849961,0,1,24789,WE_SHIP,SINGLE,GB,United Kingdom,KOREAPOST,KPACKET,200,582,1,ASN,0,0,0,0,18877,13.34,4356,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.34,18877,18876,13.34,14520,10.26,0,0,4356,3.08,1458.809889,1415.045592
A1621,2026-02-11,2026-02-10,849972,0,1,24844,WE_SHIP,SINGLE,FR,France,KOREAPOST,KPACKET,200,582,1,ASN,0,0,0,0,18028,12.74,4161,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.74,18028,18031,12.74,13870,9.8,0,0,4161,2.94,1458.809889,1415.045592
S9389,2026-02-11,2026-02-11,835471,0,1,The Saracen ,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,3500,4536,1,ASN,0,0,0,0,70070,49.57,16170,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.57,70070,70070,49.57,53900,38.13,0,0,16170,11.44,1457.269896,1413.551799
B9227,2026-02-11,2026-02-10,838051,0,1,weverse shop,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,6000,7862,1,ASN,0,0,0,0,109199,77.17,25200,17.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.17,109199,109200,77.17,84000,59.36,0,0,25200,17.81,1458.809889,1415.045592
R9602,2026-02-11,2026-02-10,838723,0,1,ktwt,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,100,218,1,ASN,0,0,0,0,12877,9.1,2970,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,12877,12870,9.1,9900,7,0,0,2970,2.1,1458.809889,1415.045592
G5466,2026-02-11,2026-02-10,783579,0,1,Weverse,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,800,1490,1,ASN,0,0,33961,24,32631,23.06,41491,29.32,24,33961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.06,32631,32630,23.06,25100,17.74,0,0,7530,5.32,1458.809889,1415.045592
H6788,2026-01-19,2026-01-04,778438,0,1,Jackpot,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,700,2116,1,ASN,0,0,0,0,18737,13.39,7129,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,18737,18740,13.39,7210,5.15,4402,3.15,7129,5.09,1442.570383,1399.293272
O7156,2026-01-19,2026-01-16,823976,0,1,S.C.H.A.L.E Store,WE_SHIP,SINGLE,JP,Japan,UPS,WORLDWIDE_SAVER,600,1934,1,ASN,0,0,0,0,18695,13.09,7112,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09,18695,18691,13.09,7190,5.03,4389,3.07,7112,4.98,1472.360005,1428.189205
R6414,2026-01-19,2026-01-16,811029,0,1,Atomy,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,2400,6221,1,ASN,0,0,0,0,29978,20.99,11012,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.99,29978,29982,20.99,11779,8.25,7191,5.04,11012,7.71,1472.360005,1428.189205
J1958,2026-01-19,2026-01-16,825238,0,1,Muvve,WE_SHIP,SINGLE,JP,Japan,UPS,WORLDWIDE_SAVER,200,1320,1,ASN,0,0,0,0,18438,12.91,7027,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.91,18438,18445,12.91,7090,4.96,4328,3.03,7027,4.92,1472.360005,1428.189205
S3913,2026-01-19,2026-01-16,786849,0,1,유랑상점,WE_SHIP,SINGLE,JP,Japan,UPS,WORLDWIDE_SAVER,500,1620,1,ASN,0,0,0,0,18695,13.09,7112,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09,18695,18691,13.09,7190,5.03,4389,3.07,7112,4.98,1472.360005,1428.189205
R6414,2026-01-19,2026-01-16,811623,0,1,Atomy,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,3000,3213,1,ASN,0,0,0,0,19238,13.47,7299,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.47,19238,19232,13.47,7410,5.19,4524,3.17,7299,5.11,1472.360005,1428.189205
O2385,2026-01-19,2026-01-15,823496,0,1,Shinsegae Centum Pharmacy,WE_SHIP,SINGLE,PH,Philippines,UPS,WORLDWIDE_SAVER,3300,5746,1,ASN,0,0,0,0,33096,23.28,12089,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.28,33096,33100,23.28,13046,9.18,7965,5.6,12089,8.5,1465.619516,1421.650931
D2659,2026-01-19,2026-01-16,812921,0,1,Jyp Edm,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,900,2246,1,ASN,0,0,0,0,18738,13.12,7129,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.12,18738,18740,13.12,7210,5.05,4402,3.08,7129,4.99,1472.360005,1428.189205
M1801,2026-01-19,2026-01-16,802947,0,1,Weverse Shop Global,WE_SHIP,SINGLE,MY,Malaysia,UPS,WORLDWIDE_SAVER,900,1960,1,ASN,0,0,0,0,18638,13.05,7095,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.05,18638,18644,13.05,7171,5.02,4378,3.07,7095,4.97,1472.360005,1428.189205
J1958,2026-01-19,2026-01-16,825234,0,1,muvve,WE_SHIP,SINGLE,JP,Japan,UPS,WORLDWIDE_SAVER,300,1260,1,ASN,0,0,0,0,18438,12.91,7027,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.91,18438,18445,12.91,7090,4.96,4328,3.03,7027,4.92,1472.360005,1428.189205
K3886,2026-01-19,2026-01-16,817592,0,1,Weverse shop,WE_SHIP,SINGLE,MY,Malaysia,UPS,WORLDWIDE_SAVER,300,950,1,ASN,0,0,0,0,18152,12.71,6925,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.71,18152,18152,12.71,6971,4.88,4256,2.98,6925,4.85,1472.360005,1428.189205
E3364,2026-01-19,2026-01-16,825202,0,1,jumpup,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,2600,2646,1,ASN,0,0,0,0,18981,13.29,7214,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29,18981,18986,13.29,7310,5.12,4463,3.12,7214,5.05,1472.360005,1428.189205
Q7942,2026-01-19,2026-01-15,817467,0,1,JJMuze,WE_SHIP,SINGLE,MY,Malaysia,UPS,WORLDWIDE_SAVER,2500,2500,1,ASN,0,0,0,0,18894,13.29,7180,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29,18894,18890,13.29,7271,5.11,4439,3.12,7180,5.05,1465.619516,1421.650931
R0962,2026-01-19,2026-01-16,822956,0,1,PureRain,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,500,1109,1,ASN,0,0,0,0,18252,12.78,6959,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.78,18252,18248,12.78,7010,4.91,4280,3,6959,4.87,1472.360005,1428.189205
I2949,2026-01-19,2026-01-17,816250,0,1,Soundwave,WE_SHIP,SINGLE,US,United States of America,FEDEX,INTERNATIONAL_CONNECT_PLUS,2200,12186,1,ASN,0,0,0,0,215691,150.9,46666,32.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.9,215691,215694,150.9,115510,80.81,53518,37.44,46666,32.65,1473.570383,1429.363272
I2949,2026-01-19,2026-01-17,814819,0,1,Soundwave,WE_SHIP,SINGLE,US,United States of America,FEDEX,INTERNATIONAL_CONNECT_PLUS,2200,4186,1,ASN,0,0,0,0,87949,61.53,19028,13.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.53,87949,87951,61.53,47100,32.95,21822,15.27,19028,13.31,1473.570383,1429.363272
C8341,2026-01-19,2026-01-16,825041,0,1,Moda82,WE_SHIP,SINGLE,US,United States of America,FEDEX,INTERNATIONAL_CONNECT_PLUS,2700,3927,1,ASN,0,0,0,0,80336,56.25,17380,12.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.25,80336,80332,56.25,43020,30.12,19932,13.96,17380,12.17,1472.360005,1428.189205
B5798,2026-01-19,2026-01-16,823037,0,1,Weverse ,WE_SHIP,SINGLE,FR,France,FEDEX,INTERNATIONAL_PRIORITY,300,1352,1,ASN,0,0,0,0,56656,39.67,12257,8.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.67,56656,56654,39.67,30340,21.24,14057,9.84,12257,8.58,1472.360005,1428.189205
B1492,2026-01-19,2026-01-16,825276,0,1,sellpocaexo,WE_SHIP,SINGLE,IN,India,KOREAPOST,EMS,4100,4100,1,ASN,0,0,0,0,59156,41.42,9860,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.42,59156,59160,41.42,49300,34.52,0,0,9860,6.9,1472.360005,1428.189205
F1722,2026-01-19,2026-01-16,780806,0,1,Weverse Shop,WE_SHIP,SINGLE,CA,Canada,KOREAPOST,EMS,700,4043,1,ASN,0,0,0,0,89219,62.47,14870,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.47,89219,89220,62.47,74350,52.06,0,0,14870,10.41,1472.360005,1428.189205
M3811,2026-01-19,2026-01-17,781317,0,1,Makestar ,WE_SHIP,SINGLE,MX,Mexico,KOREAPOST,EMS,8700,8700,1,ASN,0,0,2144,1.5,245164,171.52,43004,30.09,0,0,1.5,2144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.52,245164,245160,171.52,204300,142.93,0,0,40860,28.59,1473.570383,1429.363272
B6231,2026-01-19,2026-01-16,805710,0,1,WeverseShop,WE_SHIP,SINGLE,BR,Brazil,KOREAPOST,KPACKET,1100,1100,1,ASN,0,0,0,0,36719,25.71,8472,5.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.71,36719,36712,25.71,28240,19.77,0,0,8472,5.93,1472.360005,1428.189205
L9456,2026-01-19,2026-01-16,782717,0,1,weverse shop,WE_SHIP,SINGLE,BR,Brazil,KOREAPOST,KPACKET,1000,1490,1,ASN,0,0,0,0,43460,30.43,10029,7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.43,43460,43459,30.43,33430,23.41,0,0,10029,7.02,1472.360005,1428.189205
A3527,2026-01-19,2026-01-17,788703,0,1,SOUNDWAVE,WE_SHIP,SINGLE,JP,Japan,KOREAPOST,KPACKET,500,1404,1,ASN,0,0,0,0,21283,14.89,4911,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.89,21283,21281,14.89,16370,11.45,0,0,4911,3.44,1473.570383,1429.363272
Q2699,2026-01-19,2026-01-16,824853,0,1,AROS Korea,WE_SHIP,SINGLE,US,United States of America,KOREAPOST,EMS_PREMIUM,10500,25869,1,ASN,0,0,0,0,348478,244,58080,40.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,348478,348480,244,290400,203.33,0,0,58080,40.67,1472.360005,1428.189205
Q2699,2026-01-19,2026-01-16,824860,0,1,AROS Korea,WE_SHIP,SINGLE,US,United States of America,KOREAPOST,EMS_PREMIUM,18100,22968,1,ASN,0,0,0,0,309117,216.44,51520,36.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.44,309117,309120,216.44,257600,180.37,0,0,51520,36.07,1472.360005,1428.189205
Q2699,2026-01-19,2026-01-16,824267,0,1,AROS Korea,WE_SHIP,SINGLE,US,United States of America,KOREAPOST,EMS_PREMIUM,18100,22704,1,ASN,0,0,0,0,303362,212.41,50560,35.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.41,303362,303360,212.41,252800,177.01,0,0,50560,35.4,1472.360005,1428.189205
Q2699,2026-01-19,2026-01-16,824275,0,1,AROS Korea,WE_SHIP,SINGLE,US,United States of America,KOREAPOST,EMS_PREMIUM,6100,25869,1,ASN,0,0,0,0,348478,244,58080,40.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,348478,348480,244,290400,203.33,0,0,58080,40.67,1472.360005,1428.189205
G6676,2026-01-19,2026-01-16,792950,0,1,MAKESTAR,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,3200,4066,1,ASN,0,0,0,0,63440,44.42,14640,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.42,63440,63440,44.42,48800,34.17,0,0,14640,10.25,1472.360005,1428.189205
G0194,2026-01-19,2026-01-17,782108,0,1,Weverse,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,800,2155,1,ASN,0,0,0,0,37835,26.47,8730,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.47,37835,37830,26.47,29100,20.36,0,0,8730,6.11,1473.570383,1429.363272
G0194,2026-01-19,2026-01-17,789954,0,1,Weverse,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,1600,2341,1,ASN,0,0,0,0,40294,28.19,9300,6.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.19,40294,40300,28.19,31000,21.69,0,0,9300,6.51,1473.570383,1429.363272
G0194,2026-01-19,2026-01-17,796131,0,1,Weverse shop,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,1300,1478,1,ASN,0,0,0,0,32632,22.83,7740,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.83,32632,33540,23.47,25800,18.05,0,0,7740,5.42,1473.570383,1429.363272
R3779,2026-01-19,2026-01-16,807076,0,1,null,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,100,170,1,ASN,0,0,2142,1.5,12868,9.01,5112,3.58,0,0,1.5,2142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01,12868,12870,9.01,9900,6.93,0,0,2970,2.08,1472.360005,1428.189205
A1621,2026-01-19,2026-01-15,820654,0,1,17015,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,400,582,1,ASN,0,0,0,0,18851,13.26,4350,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.26,18851,18850,13.26,14500,10.2,0,0,4350,3.06,1465.619516,1421.650931
F1844,2026-01-19,2026-01-15,821565,0,1,Lezhin,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,700,832,1,ASN,0,0,0,0,23272,16.37,5370,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.37,23272,23270,16.37,17900,12.59,0,0,5370,3.78,1465.619516,1421.650931
I7913,2026-01-19,2026-01-15,795450,0,1,Weverse,WE_SHIP,SINGLE,US,United States of America,ETOMARS,EPARCEL,300,860,1,ASN,0,0,0,0,24836,17.47,5730,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,24836,24830,17.47,19100,13.44,0,0,5730,4.03,1465.619516,1421.650931
